Nom du Produit en Français	AGB 3.1  Score unique EF (mPt/kg de produit)
Boisson à la noix de coco, nature, préemballée	0.17336375
Boisson à la noix de coco, nature, préemballée	0.17336375
Boisson au jus de fruit et au lait	0.34217445
Boisson au soja, aromatisée, sucrée	0.046295647
Boisson au soja, aromatisée, sucrée, enrichie en calcium	0.046295647
Boisson au soja, nature	0.043627742
Boisson au soja, nature, enrichie en calcium	0.046295647
Boisson au thé, aromatisée, non sucrée, avec édulcorants	0.10132911
Boisson au thé, aromatisée, sucrée	0.10132911
Boisson au thé, aromatisée, sucrée, avec édulcorants	0.10132911
Boisson aux fruits pour bébé dès 4/6mois	0.33458477
Boisson cacaotée ou au chocolat, instantanée, sucrée, enrichie en vitamines, prête à boire (reconstituée avec du lait demi-écrémé standard)	0.13529103
Boisson cacaotée ou au chocolat, instantanée, sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard)	0.13511042
Boisson énergisante, non sucrée, avec édulcorants	N/A
Boisson énergisante, sucrée	N/A
Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, avec édulcorants	N/A
Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, sans édulcorant	N/A
Boisson gazeuse aux fruits (à moins de 10% de jus), sucrée	N/A
Boisson gazeuse aux fruits (à moins de 10% de jus), sucrée, avec édulcorants	N/A
Boisson gazeuse aux fruits (de 10 à 50% de jus), sucrée	N/A
Boisson gazeuse, sans jus de fruit, sucrée	N/A
Boisson gazeuse, sans jus de fruit, sucrée, avec édulcorants	N/A
Boisson infantile céréales lactées aux fruits pour le goûter dès 4/6 mois	0.19063861
Boisson infantile céréales lactées aux légumes pour dîner dès 4/6 mois	0.19469319
Boisson infantile céréales lactées pour le petit déjeuner	0.19469319
Boisson infantile céréales lactées pour le petit déjeuner dès 12 mois	0.19469319
Boisson infantile céréales lactées pour le petit déjeuner dès 4/6 mois	0.19469319
Boisson infantile céréales lactées pour le petit déjeuner dès 8/9 mois	0.19469319
Boisson lactée aromatisée à la fraise, sucrée, au lait partiellement écrémé, enrichie à la vitamine D	0.15624852
Boisson lactée aromatisée au chocolat, sucrée, au lait partiellement écrémé, enrichie et/ou restaurée en vitamines et/ou minéraux	0.15624852
Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré	0.21971222
Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré	0.21971222
Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré, au L Casei	0.21971222
Boisson plate aux fruits (10 à 50% de jus), à teneur réduite en sucres	N/A
Boisson plate aux fruits (10 à 50% de jus), sucrée	N/A
Boisson plate aux fruits (à moins de 10% de jus), sucrée	N/A
Boisson plate aux fruits (teneur en jus non spécifiée), sucrée	N/A
Boisson plate aux fruits, (à moins de 10% de jus), non sucrée, avec édulcorants	N/A
Boisson préparée à partir de sirop à diluer type menthe, fraise, etc, sucré, dilué dans l'eau	N/A
Bonbon / bouchée au chocolat fourrage gaufrettes / biscuit	0.69508029
Bonbon au caramel, mou	0.41065923
Bonbon dur et sucette	0.22717263
Bonbon gélifié	0.2052047
Bonbons, tout type	0.41065923
Bonite, crue	1.4905887
Bouchée à la reine, à la viande/volaille/quenelle	0.58280476
Bouchée à la reine, au poisson et fruits de mer	1.3832784
Bouchée chocolat fourrage fruits à coques et/ou praliné	0.69508029
Bouchées ou émincé au soja et blé (ne convient pas aux véganes ou végétaliens), préemballé	0.3519917
Boudin blanc truffé, cru	2.0740644
Boudin noir, rayon frais	0.23250397
Boudin noir, sauté/poêlé	0.23250397
Bouillon de boeuf, déshydraté reconstitué	0.015140384
Bouillon de légumes, déshydraté reconstitué	0.015409353
Bouillon de volaille	0.01467493
Boules de maïs soufflées au miel (non enrichies en vitamines et minéraux)	0.63233444
